Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/83,"""Valero Carpark Building Valero Street 1227, Makati City""",966-860-270,44-4506057-3,8.20127E+11,442-605-657-000,6.91295E+11,Regular,Chief Executive Officer,N/A,"90,000","1,500","2,000","1,000","45,000",535.71
10002,Lim,Antonio,6/19/88,"""San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite""",171-867-411,52-2061274-9,3.31736E+11,683-102-776-000,6.63905E+11,Regular,Chief Operating Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357.14
10003,Aquino,Bianca Sofia,8/4/89,"""Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City""",966-889-370,30-8870406-2,1.77451E+11,971-711-280-000,1.7152E+11,Regular,Chief Finance Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357.14
10004,Reyes,Isabella,6/16/94,"""460 Solanda Street Intramuros 1000, Manila""",786-868-477,40-2511815-0,3.41911E+11,876-809-437-000,4.16947E+11,Regular,Chief Marketing Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000",357.14
10005,Hernandez,Eduard,9/23/89,"""National Highway, Gingoog,  Misamis Occidental""",088-861-012,50-5577638-1,9.57436E+11,031-702-374-000,9.52347E+11,Regular,IT Operations and Systems,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335",313.51
10006,Villanueva,Andrea Mae,2/14/88,"""17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands""",918-621-603,49-1632020-8,3.82189E+11,317-674-022-000,4.41093E+11,Regular,HR Manager,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335",313.51
10007,San Jose,Brad ,3/15/96,"""99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi""",797-009-261,40-2400714-1,2.39193E+11,672-474-690-000,2.1085E+11,Regular,HR Team Leader,"Villanueva, Andrea Mae","42,975","1,500",800,800,"21,488",255.8
10008,Romualdez,Alice,5/14/92,"""12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte""",983-606-799,55-4476527-2,5.45653E+11,888-572-294-000,2.11386E+11,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250",133.93
10009,Atienza,Rosie ,9/24/48,"""90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte""",266-036-427,41-0644692-3,7.08988E+11,604-997-793-000,2.60108E+11,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250",133.93
10010,Alvaro,Roderick,3/30/88,"""#284 T. Morato corner, Scout Rallos Street, Quezon City""",053-381-386,64-7605054-4,5.78115E+11,525-420-419-000,7.99254E+11,Regular,Accounting Head,"Aquino, Bianca Sofia ","52,670","1,500","1,000","1,000","26,335",313.51
10011,Salcedo,Anthony,9/14/93,"""93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate""",070-766-300,26-9647608-3,1.26445E+11,210-805-911-000,2.18002E+11,Regular,Payroll Manager,"Alvaro, Roderick","50,825","1,500","1,000","1,000","25,413",302.53
10012,Lopez,Josie ,1/14/87,"""49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro""",478-355-427,44-8563448-3,4.31709E+11,218-489-737-000,1.13071E+11,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","1,500",800,800,"19,238",229.02
10013,Farala,Martha,1/11/42,"""42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte""",329-034-366,45-5656375-0,2.33694E+11,210-835-851-000,6.3113E+11,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000",142.86
10014,Martinez,Leila,7/11/70,"""37/46 Kulas Roads, Maragondon 0962 Quirino""",877-110-749,27-2090996-4,5.15741E+11,275-792-513-000,1.01205E+11,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000",142.86
10015,Romualdez,Fredrick ,3/10/85,"""22A/52 Lubowitz Meadows, Pililla 4895 Zambales""",023-079-009,26-8768374-1,3.08367E+11,598-065-761-000,2.23058E+11,Regular,Account Manager,"Lim, Antonio","53,500","1,500","1,000","1,000","26,750",318.45
10016,Mata,Christian,10/21/87,"""90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu""",783-776-744,49-2959312-6,8.24188E+11,103-100-522-000,6.31053E+11,Regular,Account Team Leader,"Romualdez, Fredrick ","42,975","1,500",800,800,"21,488",255.8
